index,zip_code,item_number,bottles_sold
0,50010,946574,288
1,50022,86507,4
2,50111,77805,108
3,50131,38089,48
4,50158,48099,24
5,50158,67528,3
6,50158,67557,6
7,50263,3135,84
8,50265,67526,72
9,50266,250,90
10,50314,48106,60
11,50314,49182,24
12,50314,56193,24
13,50314,86251,240
14,50314,905153,36
15,50316,48099,48
16,50317,56193,24
17,50320,77487,72
18,50320,926577,66
19,50320,973627,120
20,50327,43040,102
21,50401,86843,18
22,50401,986845,48
23,50461,35918,30
24,50501,38176,108
25,50588,84617,4
26,50662,86739,8
27,50701,43031,4
28,50701,43034,7
29,50701,86112,2
30,50702,77487,768
31,50702,100026,84
32,50702,917914,18
33,50703,168,180
34,50703,37880,24
35,50703,43034,1
36,50703,48099,24
37,50707,15626,60
38,50801,43037,5
39,51106,67527,240
40,51106,67586,84
41,51106,86251,144
42,51246,82187,5
43,51247,86112,6
44,51360,77487,48
45,51401,27189,18
46,51401,33717,4
47,51401,43031,12
48,51501,43031,4
49,51501,67524,7
50,51501,81124,2
51,51501,86251,48
52,51534,84197,3
53,51555,45247,2
54,52001,67557,4
55,52003,43031,5
56,52136,35917,2
57,52172,67524,1
58,52240,27102,18
59,52240,86251,60
60,52241,43034,1
61,52241,65750,48
62,52314,75087,1560
63,52338,27357,90
64,52402,45246,7
65,52402,86390,216
66,52405,84197,2
67,52411,41846,36
68,52556,86251,6
69,52601,35913,48
70,52601,48099,24
71,52627,67586,36
72,52732,45248,24
73,52761,82847,4
74,52803,41844,3
75,52804,48690,2
