index,zip_code,item_number,bottles_sold
0,52556,86251,6
1,52803,41844,3
2,51501,81124,2
3,52761,82847,4
4,50320,973627,120
5,50158,67557,6
6,50703,168,180
7,51247,86112,6
8,50702,100026,84
9,50501,38176,108
10,50461,35918,30
11,50588,84617,4
12,52241,43034,1
13,51501,86251,48
14,50314,48106,60
15,52601,48099,24
16,50314,49182,24
17,50707,15626,60
18,51401,33717,4
19,50158,67528,3
20,52314,75087,660
21,50320,926577,66
22,50158,48099,24
23,50314,905153,36
24,51501,67524,7
25,52314,75087,900
26,51534,84197,3
27,52411,41846,36
28,52804,48690,2
29,51106,86251,144
30,52240,27102,18
31,50401,986845,48
32,50314,56193,24
33,50010,946574,288
34,52601,35913,48
35,51106,67586,84
36,51360,77487,48
37,50263,3135,84
38,50266,250,90
39,50314,86251,180
40,52405,84197,2
41,50701,43031,4
42,52003,43031,5
43,50131,38089,48
44,50265,67526,72
45,50401,86843,18
46,51246,82187,5
47,50662,86739,8
48,52172,67524,1
49,50320,77487,72
50,52732,45248,24
51,50701,43034,7
52,50703,43034,1
53,50327,43040,102
54,51401,27189,18
55,50317,56193,24
56,52338,27357,90
57,52240,86251,60
58,50022,86507,4
59,50702,917914,18
60,51106,67527,240
61,50703,48099,24
62,50801,43037,5
63,51555,45247,2
64,51401,43031,12
65,50703,37880,24
66,52627,67586,36
67,51501,43031,4
68,50111,77805,108
69,50316,48099,48
70,50702,77487,768
71,50701,86112,2
72,52402,45246,7
73,52136,35917,2
74,52241,65750,48
75,52001,67557,4
76,52402,86390,216
77,50314,86251,60
