index,store_name,sale_dollars
0,Hy-Vee Food Store / Fairfield,21.78
1,Hilltop Grocery,18.9
2,Hy-Vee Drugstore / Council Bluffs,17.82
3,Nash Finch / Wholesale Food,45.72
4,Hy-Vee #3 / BDI / Des Moines,1755.6
5,Hy-Vee Food Store / Marshalltown,75.54
6,Hy-Vee Food Store #2 / Waterloo,1985.4
7,Pump N Pak,21
8,Hy-Vee Food Store #3 / Waterloo,1448.16
9,Hy-Vee Food Store / Fort Dodge,1563.84
10,Osage Payless Foods,324
11,Hy-Vee Wine and Spirits / Storm Lake,33
12,Bootleggin' Barzini's Fin,6.75
13,I-80 Liquor / Council Bluffs,174.24
14,Central City 2,1709.4
15,Burlington Shell,206.64
16,Shop N Save #1 / Mlk Pkwy,116.64
17,Fareway Stores #067 / Evansdale,1349.4
18,Fareway Stores #409 / Carroll,32.52
19,Depot Liquor & Grocery,112.47
20,Wilkie Liquors,4870.8
21,Hy-Vee #3 / BDI / Des Moines,1881
22,East Side Liquor and Groceries,206.64
23,"Central City Liquor, Inc.",1078.92
24,Speedy Gas N Shop,68.18
25,Wilkie Liquors,6750
26,Gameday Liquor,27
27,Hy-Vee #7 / Cedar Rapids,486
28,Famous Liquors,17.98
29,Sam's Club 6432 / Sioux City,522.72
30,Hy-Vee Wine and Spirits / Iowa City,488.52
31,Hy-Vee Food Store #1 / Mason City,630.24
32,Shop N Save #1 / Mlk Pkwy,70.56
33,Sam's Club 6568 / Ames,3913.92
34,Quik Stop  /  Burlington,81.6
35,Sam's Club 6432 / Sioux City,720.72
36,Hy-Vee Wine and Spirits / Spirit Lake,324.96
37,Hy-Vee / Waukee,1518.72
38,Hy-Vee Wine and Spirits / WDM,3372.3
39,Central City 2,653.4
40,Smokin' Joe's #7 Tobacco and Liquor Outlet,18
41,New Star Liquor / W 4th S / Waterloo,33.24
42,Sid's Beverage Shop,41.55
43,Hy-Vee Food Store / Johnston,64.32
44,Fareway Stores #153  /  W Des Moines,1349.28
45,Hy-Vee Food Store #1 / Mason City,270
46,Liquor Locker,37.5
47,Fareway Stores #412 / Oelwein,105.04
48,Double D Liquor Store,9.74
49,Hy-Vee #3 / BDI / Des Moines,487.44
50,Hy-Vee Food and Drug / Clinton,282.24
51,New Star Liquor / W 4th S / Waterloo,47.25
52,Hy-Vee Food Store #2 / Waterloo,6.75
53,Fareway Stores #138 / Pleasant Hill,2295
54,Hy-Vee Food Store / Carroll,637.74
55,Hy-Vee Wine and Spirits / Hubbell,70.56
56,Cedar Ridge Vineyards,3712.5
57,Hy-Vee Wine and Spirits / Iowa City,217.8
58,Hy-Vee Wine and Spirits / Atlantic,23.04
59,Hy-Vee Food Store #3 / Waterloo,807.84
60,Sam's Club 6432 / Sioux City,5397.6
61,"Ray's Supermarket, Inc.",206.64
62,Fareway Stores #597 / Creston,71.25
63,Food Land Super Markets,13.26
64,Hy-Vee Food Store / Carroll,99.72
65,Logan Convenience Store,63.36
66,Quicker Liquor Store,237.24
67,Tobacco Hut #14 / Council Bluffs,33.24
68,Fareway Stores #983 / Grimes,1296
69,Tequila's Liquor Store,413.28
70,Sam's Club 6514 / Waterloo,5199.36
71,Hy-Vee Wine and Spirits / Waterloo,7
72,CVS Pharmacy #8526 / Cedar Rapids,42
73,The Ox & Wren Spirits and Gifts,75.12
74,Hy-Vee Food Store / Coralville,504
75,"Iowa Street Market, Inc.",50.36
76,Sam's Club 8162 / Cedar Rapids,691.2
77,Central City 2,217.8
